Iteration,FP32 Input,Custom Input,FP32 Result,Custom Result,Absolute Error,Relative Error (%)
2300,2.0704878708897603,2.0701904296875,2.0708949196768494,2.07061767578125,0.00027724389559935503,0.013387637053193277
2400,2.111394898545349,2.1129150390625,2.1118060380352035,2.11334228515625,0.0015362471210464967,0.07274565435355043
2500,2.1527130280061013,2.1556396484375,2.153128299308902,2.15606689453125,0.0029385952223481837,0.1364802656344908
2600,2.1944463907062466,2.1983642578125,2.194865835345317,2.19879150390625,0.0039256685609330155,0.1788568803484698
2700,2.236599159599524,2.2410888671875,2.2370228195154835,2.24151611328125,0.0044932937657664596,0.20086043497489497
2800,2.2791755495764594,2.2838134765625,2.279603467131417,2.28424072265625,0.004637255524833073,0.2034237792535231
2900,2.322179817885796,2.32916259765625,2.322612035867585,2.329620361328125,0.007008325460540199,0.30174326802376705
3000,2.3656162645601952,2.37493896484375,2.3660528261866514,2.375396728515625,0.009343902328973641,0.3949152033107027
3100,2.409489232846187,2.42071533203125,2.4099301817694716,2.421173095703125,0.011242913933653398,0.466524466920381
3200,2.453803109638463,2.46649169921875,2.4542484899494266,2.466949462890625,0.01270097294119843,0.5175096569565436
3300,2.498562325918525,2.51226806640625,2.4990121821511164,2.512725830078125,0.013713647927008576,0.5487627481353072
3400,2.5437713571977447,2.55804443359375,2.5442257343334647,2.558502197265625,0.014276462932160339,0.5611319286454934
3500,2.5894347239648687,2.604522705078125,2.589893667437265,2.605010986328125,0.015117318890859988,0.5837042300589421
3600,2.635556992138023,2.653350830078125,2.6360205478372367,2.653839111328125,0.017818563490888284,0.6759645142185176
3700,2.682142773521278,2.702178955078125,2.68261098779863,2.702667236328125,0.020056248529495058,0.7476390956690058
3800,2.7291967262657657,2.751007080078125,2.729669645938392,2.751495361328125,0.02182571538973299,0.7995735096446024
3900,2.7767235553354706,2.799835205078125,2.777201227691004,2.800323486328125,0.023122258637120918,0.8325741183812244
4000,2.8247280129776686,2.848663330078125,2.825210485778966,2.849151611328125,0.023941125549158837,0.8474103317140208
4100,2.8732148991981257,2.897491455078125,2.8737022206880454,2.897979736328125,0.024277515640079628,0.8448166781270366
4200,2.922189062241032,2.949188232421875,2.922681281147256,2.94970703125,0.027025750102743995,0.9246902930221467
4300,2.9716553990738017,3.001068115234375,2.972152564613709,3.0015869140625,0.029434349448790975,0.9903377706526502
4400,3.0216188558767128,3.052947998046875,3.0221210177623004,3.053466796875,0.031345779112699645,1.037211247612755
4500,3.0720844285374853,3.104827880859375,3.072591636980339,3.1053466796875,0.032755042707160786,1.0660395710557737
4600,3.12305716315082,3.156707763671875,3.123569468867135,3.1572265625,0.03365709363286484,1.0775202526573449
4700,3.1745421565229726,3.208892822265625,3.1750596107386246,3.209442138671875,0.03438252793325036,1.0828939342418153
4800,3.22654455668137,3.263824462890625,3.227067211137038,3.264373779296875,0.03730656815983702,1.1560517869317097
4900,3.279069563389374,3.318756103515625,3.279597470345713,3.319305419921875,0.03970794957616208,1.2107568058337457
5000,3.3321224286662225,3.373687744140625,3.3326556409090893,3.374237060546875,0.04158141963778572,1.247696255423589
5100,3.3857084573121603,3.428619384765625,3.3862470281578916,3.429168701171875,0.04292167301398342,1.2675292929627962
5200,3.4398330074388914,3.483551025390625,3.4403769907396353,3.484100341796875,0.04372335105723968,1.2708883699352884
5300,3.4945014910053223,3.540008544921875,3.495050941154423,3.54058837890625,0.04553743775182717,1.3029119895112617
5400,3.549719374358725,3.597991943359375,3.550274346296161,3.59857177734375,0.04829743104758899,1.3603858839240268
5500,3.6054921787813137,3.655975341796875,3.6060527279991916,3.65655517578125,0.05050244778205837,1.400491107352152
5600,3.661825481042324,3.713958740234375,3.6623916635904283,3.71453857421875,0.05214691062832166,1.4238485508455805
